collocation,collocate_count,total_count,MI
now,1,340,14.589165730539461
more,1,322,14.510691672516376
were,1,318,14.492657749686114
so,1,314,14.474395543293385
on,3,939,14.469793641334379
we,1,299,14.403776468599863
first,1,268,14.245863984859533
again,1,249,14.13977672646984
sherwin,1,247,14.128142025986435
never,1,240,14.086665390010277
than,1,227,14.006323281692673
t,1,222,13.974190660751866
your,2,432,13.934662296565227
last,1,212,13.90769524896496
little,1,206,13.866275321584977
her,7,1409,13.83287576865379
how,1,199,13.816399414945407
room,1,194,13.779687636588887
are,1,192,13.764737295122915
but,3,573,13.757203622437508
she,4,736,13.703336750458773
see,1,175,13.630985906234088
day,1,171,13.597627309287658
me,9,1465,13.526534742269057
my,14,2170,13.455899199675997
might,1,149,13.398943314863919
eyes,1,148,13.389228160030708
just,1,141,13.319326146800552
once,1,141,13.319326146800552
time,2,278,13.298715867125265
say,1,138,13.288299251179927
with,6,794,13.22780749082356
home,1,131,13.213197795939209
at,7,915,13.21004780551556
towards,1,127,13.168459481173924
come,1,125,13.145559079063846
night,1,124,13.133971104788634
words,1,124,13.133971104788634
or,3,369,13.122289299740999
what,3,367,13.114448546523816
door,1,122,13.110512131964644
nothing,1,121,13.098638031676353
down,1,120,13.086665390010278
then,2,229,13.018978582498702
other,1,114,13.0126648085665
tell,1,114,13.0126648085665
i,36,3972,12.965499700487822
speak,1,107,12.921241780802907
own,2,211,12.900873983108943
make,1,105,12.894020312067882
heard,1,104,12.880214512542851
without,1,103,12.866275321584977
family,1,100,12.823630984176484
do,2,199,12.816399414945407
some,2,199,12.816399414945407
much,1,99,12.809131414481369
after,2,198,12.809131414481369
it,13,1242,12.757784534481148
turned,1,95,12.749630402732707
felt,1,91,12.687569434600455
those,1,90,12.671627890731433
basil,1,88,12.639206413039057
before,3,263,12.633731282972905
name,1,87,12.622718290250488
you,16,1364,12.59340272342593
to,44,3746,12.591478360007507
our,2,167,12.56347908687581
from,7,583,12.559771945544652
when,6,486,12.519624797286383
am,2,161,12.510691672516376
face,2,161,12.510691672516376
know,2,159,12.492657749686114
new,1,79,12.483555542578861
will,3,237,12.483555542578861
take,1,79,12.483555542578861
house,2,157,12.474395543293385
looked,2,157,12.474395543293385
all,6,462,12.44656133509666
sister,1,77,12.44656133509666
not,8,612,12.43716263709441
father,4,306,12.43716263709441
came,2,152,12.427702307845344
and,45,3375,12.40859348489764
him,7,522,12.400325868914038
voice,1,74,12.389228160030708
told,1,73,12.369599353281776
round,1,73,12.369599353281776
only,3,217,12.356363526125081
two,1,72,12.349699795844069
out,4,286,12.339646131180148
in,30,2135,12.332904553301093
any,3,211,12.315911482387788
too,2,139,12.298715867125265
may,2,138,12.288299251179927
they,3,204,12.267237635652098
moment,2,135,12.256590391452589
every,2,131,12.213197795939209
could,5,325,12.202142607430215
did,2,129,12.191002049825014
took,1,64,12.179774794401759
great,1,64,12.179774794401759
london,1,64,12.179774794401759
had,17,1076,12.163774315708043
as,21,1309,12.14170675356824
long,2,124,12.133971104788634
hear,1,62,12.133971104788634
together,1,61,12.110512131964644
death,1,61,12.110512131964644
well,2,122,12.110512131964644
for,15,911,12.10419144259529
mr,4,240,12.086665390010278
which,14,828,12.065906829843481
the,102,6013,12.06121869562633
still,4,234,12.050139513985163
sure,1,58,12.037755789529331
really,1,58,12.037755789529331
girl,1,58,12.037755789529331
way,2,116,12.037755789529331
is,8,462,12.031523835817815
of,57,3254,12.014883315909543
stood,1,57,12.0126648085665
can,4,225,11.993555985618796
give,1,56,11.987129716459364
about,4,221,11.96767735379319
sight,1,55,11.961134507926417
put,1,55,11.961134507926417
us,3,163,11.94354044791168
saw,2,108,11.934662296565227
both,1,54,11.934662296565227
head,1,54,11.934662296565227
have,13,702,11.934662296565227
was,29,1555,11.924492664292151
feel,1,53,11.90769524896496
hour,1,53,11.90769524896496
should,3,157,11.88943304257223
no,7,362,11.872265759427359
look,3,154,11.861598834375503
them,5,256,11.857846699514395
his,18,904,11.830028755374634
seen,1,50,11.823630984176484
one,6,298,11.813980814142763
years,1,49,11.794484638516968
up,4,196,11.794484638516968
like,3,146,11.78463685256062
table,1,48,11.764737295122915
that,31,1464,11.741278322298925
business,1,47,11.734363646079396
change,1,47,11.734363646079396
thought,3,141,11.734363646079396
rather,1,47,11.734363646079396
while,3,139,11.713753366404111
by,12,553,11.705947963915309
want,1,46,11.70333675045877
these,2,91,11.687569434600455
place,3,136,11.682275134930942
walked,1,45,11.671627890731433
poor,1,45,11.671627890731433
strange,1,45,11.671627890731433
be,13,574,11.644242002936354
done,1,44,11.639206413039057
return,1,44,11.639206413039057
same,3,131,11.628235295218053
he,25,1087,11.622054829654344
thus,1,43,11.606039549103857
given,1,43,11.606039549103857
spoke,2,86,11.606039549103857
speaking,1,43,11.606039549103857
old,2,85,11.589165730539461
said,5,212,11.585767154077596
this,13,547,11.574732099053222
determined,1,42,11.572092217180519
been,7,292,11.56224443122417
made,3,122,11.52554963124349
hand,3,122,11.52554963124349
woman,2,81,11.519624797286383
short,1,40,11.50170288928912
writing,1,40,11.50170288928912
sometimes,1,40,11.50170288928912
sir,3,119,11.489630056988545
self,1,39,11.465177013264007
against,2,78,11.465177013264007
life,5,191,11.435275527550145
having,1,38,11.427702307845344
mine,2,75,11.408593484897638
hospital,1,37,11.38922816003071
would,7,255,11.366773309203012
dear,2,72,11.34969979584407
led,1,36,11.34969979584407
immediately,1,36,11.34969979584407
miss,1,36,11.34969979584407
quiet,1,36,11.34969979584407
between,2,72,11.34969979584407
followed,1,36,11.34969979584407
matter,1,36,11.34969979584407
most,3,108,11.34969979584407
kind,1,35,11.309057811346726
oh,1,35,11.309057811346726
wait,1,35,11.309057811346726
feeling,1,35,11.309057811346726
sound,1,35,11.309057811346726
looking,2,69,11.288299251179929
ought,1,34,11.267237635652098
either,1,34,11.267237635652098
less,1,33,11.224168913760211
letter,4,131,11.213197795939209
answer,1,32,11.179774794401759
suddenly,1,31,11.133971104788634
itself,1,31,11.133971104788634
honour,1,31,11.133971104788634
bernard,1,31,11.133971104788634
least,1,30,11.086665390010277
story,1,30,11.086665390010277
stop,1,30,11.086665390010277
fresh,1,30,11.086665390010277
knew,4,117,11.050139513985163
s,23,668,11.039917130818797
power,1,29,11.03775578952933
daughter,3,87,11.03775578952933
sake,1,29,11.03775578952933
an,9,261,11.03775578952933
master,1,29,11.03775578952933
among,2,57,11.0126648085665
manner,3,85,11.004203229818303
produced,1,28,10.987129716459362
absence,1,28,10.987129716459362
altered,1,28,10.987129716459362
human,1,28,10.987129716459362
many,2,56,10.987129716459362
bad,1,28,10.987129716459362
work,1,28,10.987129716459362
exactly,1,28,10.987129716459362
continued,1,28,10.987129716459362
m,2,55,10.961134507926419
man,6,163,10.94354044791168
confidence,1,27,10.934662296565227
suffered,1,27,10.934662296565227
illness,1,27,10.934662296565227
such,5,134,10.923935889972169
re,1,26,10.88021451254285
above,1,26,10.88021451254285
duty,1,26,10.88021451254285
talk,1,26,10.88021451254285
fear,1,26,10.88021451254285
study,1,25,10.823630984176484
something,3,75,10.823630984176484
people,2,50,10.823630984176484
women,1,25,10.823630984176484
doctor,1,25,10.823630984176484
knowing,1,25,10.823630984176484
has,8,192,10.764737295122915
spite,1,24,10.764737295122915
whatever,1,24,10.764737295122915
merely,1,24,10.764737295122915
besides,1,24,10.764737295122915
ever,7,168,10.764737295122915
must,6,143,10.754683630458992
standing,1,23,10.70333675045877
minutes,1,23,10.70333675045877
son,2,45,10.671627890731433
half,2,45,10.671627890731433
best,2,44,10.639206413039057
placed,1,22,10.639206413039057
bedside,1,22,10.639206413039057
hung,1,22,10.639206413039057
very,10,215,10.606039549103857
fellow,1,21,10.572092217180519
leaves,1,21,10.572092217180519
watch,1,21,10.572092217180519
nearly,1,21,10.572092217180519
found,3,63,10.572092217180519
presence,2,41,10.537326799019842
lady,2,41,10.537326799019842
another,3,61,10.52554963124349
here,6,121,10.513675530955197
cause,1,20,10.501702889289122
object,1,20,10.501702889289122
leaving,1,20,10.501702889289122
husband,2,40,10.501702889289122
obliged,1,20,10.501702889289122
ceased,1,20,10.501702889289122
remember,2,40,10.501702889289122
world,3,59,10.477455343042443
spoken,2,39,10.465177013264007
a,99,1893,10.436876870025854
enemy,1,19,10.427702307845344
accident,1,19,10.427702307845344
try,1,19,10.427702307845344
does,1,19,10.427702307845344
single,1,18,10.34969979584407
england,1,18,10.34969979584407
occupied,1,18,10.34969979584407
married,1,18,10.34969979584407
delay,1,18,10.34969979584407
waiting,1,18,10.34969979584407
calm,1,18,10.34969979584407
hitherto,1,18,10.34969979584407
met,3,53,10.322732748243801
ago,1,17,10.267237635652098
fit,1,17,10.267237635652098
reason,1,17,10.267237635652098
character,3,50,10.238668483455328
especially,1,16,10.179774794401759
pocket,1,16,10.179774794401759
marked,1,16,10.179774794401759
letters,2,31,10.133971104788634
happened,2,31,10.133971104788634
right,4,61,10.110512131964645
motive,1,15,10.086665390010277
crossed,1,15,10.086665390010277
social,1,15,10.086665390010277
safe,1,14,9.987129716459362
happen,1,14,9.987129716459362
hurried,1,14,9.987129716459362
call,2,27,9.934662296565227
loved,1,13,9.88021451254285
formed,1,13,9.88021451254285
college,1,13,9.88021451254285
black,2,26,9.88021451254285
confess,1,13,9.88021451254285
worthy,1,13,9.88021451254285
appearance,2,25,9.823630984176484
impossible,2,25,9.823630984176484
young,7,86,9.798684627046253
senses,1,12,9.764737295122915
living,2,24,9.764737295122915
true,1,12,9.764737295122915
whom,5,58,9.715827694641968
worse,2,23,9.70333675045877
directly,2,23,9.70333675045877
laugh,1,11,9.639206413039057
dangerous,1,11,9.639206413039057
explain,1,11,9.639206413039057
caught,1,11,9.639206413039057
tenderly,1,11,9.639206413039057
struggled,1,11,9.639206413039057
cared,1,11,9.639206413039057
nervous,1,11,9.639206413039057
station,2,21,9.572092217180519
society,2,21,9.572092217180519
dead,3,30,9.50170288928912
small,1,10,9.50170288928912
reasons,1,10,9.50170288928912
marry,1,10,9.50170288928912
bore,1,10,9.50170288928912
privately,1,10,9.50170288928912
hide,1,10,9.50170288928912
who,19,188,9.486436132635811
nurse,1,9,9.34969979584407
information,1,9,9.34969979584407
gratitude,1,9,9.34969979584407
ward,1,9,9.34969979584407
observed,1,9,9.34969979584407
sad,1,9,9.34969979584407
careless,1,9,9.34969979584407
hot,1,9,9.34969979584407
laughed,1,9,9.34969979584407
accordingly,1,9,9.34969979584407
firmness,1,9,9.34969979584407
late,2,17,9.267237635652098
fever,2,17,9.267237635652098
wrote,2,17,9.267237635652098
ha,1,8,9.179774794401759
devoted,1,8,9.179774794401759
visions,1,8,9.179774794401759
remains,1,8,9.179774794401759
deceived,1,8,9.179774794401759
hopes,1,8,9.179774794401759
surface,1,8,9.179774794401759
admiration,1,8,9.179774794401759
longed,1,8,9.179774794401759
imagined,1,8,9.179774794401759
makes,1,8,9.179774794401759
himself,8,58,9.03775578952933
sharp,1,7,8.987129716459362
useful,1,7,8.987129716459362
introduced,1,7,8.987129716459362
dreaded,1,7,8.987129716459362
reader,1,7,8.987129716459362
welcome,1,7,8.987129716459362
confidential,1,7,8.987129716459362
ruined,1,7,8.987129716459362
questioned,1,7,8.987129716459362
sit,1,7,8.987129716459362
acting,1,7,8.987129716459362
sufficient,1,7,8.987129716459362
contrived,1,7,8.987129716459362
evidence,1,7,8.987129716459362
fall,1,7,8.987129716459362
doctors,1,7,8.987129716459362
whose,8,51,8.852200136373254
hurt,1,6,8.764737295122915
bid,1,6,8.764737295122915
weak,2,12,8.764737295122915
draw,1,6,8.764737295122915
thin,1,6,8.764737295122915
doesn,1,6,8.764737295122915
daily,1,6,8.764737295122915
interrupted,2,12,8.764737295122915
resolute,1,6,8.764737295122915
dragged,1,6,8.764737295122915
pleasures,1,6,8.764737295122915
vile,1,6,8.764737295122915
broke,1,6,8.764737295122915
selfish,1,6,8.764737295122915
breaking,1,6,8.764737295122915
integrity,1,6,8.764737295122915
age,3,17,8.682275134930942
lifted,1,5,8.50170288928912
letting,1,5,8.50170288928912
procured,1,5,8.50170288928912
minded,1,5,8.50170288928912
sphere,1,5,8.50170288928912
steadily,1,5,8.50170288928912
dishonoured,1,5,8.50170288928912
attendance,1,5,8.50170288928912
receiving,1,5,8.50170288928912
wealth,2,10,8.50170288928912
ten,2,10,8.50170288928912
dislike,1,5,8.50170288928912
unusual,1,5,8.50170288928912
observing,1,5,8.50170288928912
kiss,1,5,8.50170288928912
superior,1,5,8.50170288928912
polite,1,5,8.50170288928912
mistake,1,5,8.50170288928912
policeman,1,5,8.50170288928912
dressed,2,9,8.34969979584407
clerk,4,17,8.267237635652098
respects,1,4,8.179774794401759
saved,1,4,8.179774794401759
hurled,1,4,8.179774794401759
likes,1,4,8.179774794401759
educated,1,4,8.179774794401759
tranquillity,1,4,8.179774794401759
whirling,1,4,8.179774794401759
forbade,1,4,8.179774794401759
driving,1,4,8.179774794401759
headache,1,4,8.179774794401759
friendship,1,4,8.179774794401759
loves,1,4,8.179774794401759
heavier,1,4,8.179774794401759
hearty,1,4,8.179774794401759
caprice,1,4,8.179774794401759
faced,1,4,8.179774794401759
ambitious,1,4,8.179774794401759
instinctively,1,4,8.179774794401759
inspired,1,4,8.179774794401759
unobtrusive,1,4,8.179774794401759
purple,1,4,8.179774794401759
thousand,2,7,7.987129716459362
medical,2,7,7.987129716459362
trade,1,3,7.764737295122915
enlighten,1,3,7.764737295122915
midst,1,3,7.764737295122915
identity,1,3,7.764737295122915
sulkily,1,3,7.764737295122915
pitiless,1,3,7.764737295122915
poorly,1,3,7.764737295122915
whistling,1,3,7.764737295122915
drunken,1,3,7.764737295122915
scoundrel,1,3,7.764737295122915
cloak,1,3,7.764737295122915
conventional,1,3,7.764737295122915
cordiality,1,3,7.764737295122915
dwelling,1,3,7.764737295122915
respectability,1,3,7.764737295122915
independent,1,3,7.764737295122915
honest,2,6,7.764737295122915
rule,1,3,7.764737295122915
indications,1,3,7.764737295122915
enmity,1,3,7.764737295122915
pompous,1,3,7.764737295122915
clothed,1,3,7.764737295122915
measure,1,3,7.764737295122915
handsome,1,3,7.764737295122915
reward,1,3,7.764737295122915
ring,1,3,7.764737295122915
bait,1,3,7.764737295122915
overtake,1,3,7.764737295122915
holiday,1,3,7.764737295122915
tall,2,5,7.501702889289121
talents,1,2,7.179774794401759
emergencies,1,2,7.179774794401759
pitilessly,1,2,7.179774794401759
honours,1,2,7.179774794401759
standard,1,2,7.179774794401759
labouring,1,2,7.179774794401759
finds,1,2,7.179774794401759
insolence,1,2,7.179774794401759
purse,1,2,7.179774794401759
elements,1,2,7.179774794401759
alliance,1,2,7.179774794401759
mud,1,2,7.179774794401759
wisest,1,2,7.179774794401759
withered,1,2,7.179774794401759
instructed,1,2,7.179774794401759
conventionalities,1,2,7.179774794401759
exemplary,1,2,7.179774794401759
stations,1,2,7.179774794401759
purchased,1,2,7.179774794401759
formality,1,2,7.179774794401759
professional,1,2,7.179774794401759
scrape,1,2,7.179774794401759
lean,2,4,7.179774794401759
cheated,1,2,7.179774794401759
inhabited,1,2,7.179774794401759
mistook,1,2,7.179774794401759
fireplace,1,2,7.179774794401759
mercantile,1,2,7.179774794401759
presented,2,4,7.179774794401759
calls,2,4,7.179774794401759
undeservedly,1,2,7.179774794401759
tyrant,1,2,7.179774794401759
taller,1,2,7.179774794401759
gown,1,2,7.179774794401759
trusted,2,4,7.179774794401759
model,1,2,7.179774794401759
iniquity,1,2,7.179774794401759
hasty,1,2,7.179774794401759
managing,2,4,7.179774794401759
victoria,2,4,7.179774794401759
injured,2,4,7.179774794401759
admirable,1,2,7.179774794401759
arrayed,1,2,7.179774794401759
morally,2,3,6.764737295122915
unfortunate,2,3,6.764737295122915
tying,1,1,6.179774794401759
big,1,1,6.179774794401759
marvels,1,1,6.179774794401759
reliant,1,1,6.179774794401759
establishes,1,1,6.179774794401759
exchanging,1,1,6.179774794401759
aggressor,1,1,6.179774794401759
civilities,1,1,6.179774794401759
beside,1,1,6.179774794401759
labyrinth,1,1,6.179774794401759
grinned,1,1,6.179774794401759
shabby,1,1,6.179774794401759
accounting,1,1,6.179774794401759
steed,1,1,6.179774794401759
mutter,1,1,6.179774794401759
shabbily,1,1,6.179774794401759
brink,1,1,6.179774794401759
waived,1,1,6.179774794401759
austerious,1,1,6.179774794401759
unassailable,1,1,6.179774794401759
parcel,1,1,6.179774794401759
baronet,1,1,6.179774794401759
retorted,1,1,6.179774794401759
testified,1,1,6.179774794401759
clever,2,2,6.179774794401759
title,1,1,6.179774794401759
isolation,1,1,6.179774794401759
intellectually,1,1,6.179774794401759
fat,1,1,6.179774794401759
satan,1,1,6.179774794401759
appears,1,1,6.179774794401759
suffers,1,1,6.179774794401759
admired,1,1,6.179774794401759
worrying,1,1,6.179774794401759
feels,1,1,6.179774794401759
dissipate,1,1,6.179774794401759
inferences,1,1,6.179774794401759
shouldered,1,1,6.179774794401759
proudest,4,4,6.179774794401759
portly,1,1,6.179774794401759
sorer,1,1,6.179774794401759
prize,1,1,6.179774794401759
student,1,1,6.179774794401759
distrustfully,1,1,6.179774794401759
plastered,1,1,6.179774794401759
inheritor,1,1,6.179774794401759
implore,1,1,6.179774794401759
sobered,1,1,6.179774794401759
disorder,1,1,6.179774794401759
staggering,1,1,6.179774794401759
civilised,1,1,6.179774794401759
worshipper,1,1,6.179774794401759
honestest,1,1,6.179774794401759
genius,1,1,6.179774794401759
threatens,1,1,6.179774794401759
sighted,1,1,6.179774794401759
doubled,1,1,6.179774794401759
26th,1,1,6.179774794401759
